id,user_id,cat_id,cat_name,buy_mount,day,location,label
1,786295544,250822,I品牌孕妇装,1,20120101,四川省,0
2,532110457,50005978,C品牌小夜灯,1,20120101,云南省,0
3,249013725,50005982,J品牌小夜灯,1,20120101,江苏省,0
4,917056007,50006033,J品牌吸奶器,1,20120101,安徽省,0
5,444069173,50006042,X品牌吸奶器,1,20120101,江西省,0
6,152298847,50006099,O品牌产妇护理垫,1,20120101,北京市,0
7,513441334,50006602,A品牌孕妇产后塑身衣,1,20120101,安徽省,0
8,297411659,50006602,A品牌孕妇产后塑身衣,1,20120101,陕西省,0
9,82830661,50006602,A品牌孕妇产后塑身衣,1,20120101,广西壮族自治区,0
10,475046636,50006843,I品牌孕妇产后塑身衣,2,20120101,浙江省,0
11,734147966,50007011,D品牌哺乳内衣,1,20120101,江苏省,0
12,68547330,50007012,F品牌哺乳内衣,1,20120101,天津市,0
13,697081418,50008705,O品牌胎心仪,1,20120101,福建省,0
14,377550424,50009542,X品牌婴儿背袋,1,20120101,广东省,0
15,88313935,50010537,I品牌婴儿汤匙,1,20120101,内蒙古自治区,0
16,25918750,50010544,O品牌婴儿汤匙,1,20120101,北京市,0
17,350288528,50010544,O品牌婴儿汤匙,1,20120101,山东省,0
18,348090113,50010549,S品牌婴儿汤匙,2,20120101,辽宁省,0
19,1635282280,50010549,S品牌婴儿汤匙,1,20120101,北京市,0
20,530850018,50010557,Z品牌婴儿汤匙,1,20120101,重庆市,0
21,749507708,50010557,Z品牌婴儿汤匙,1,20120101,上海市,0
22,201088567,50010558,F品牌宝宝餐椅,1,20120101,黑龙江省,0
23,469517728,50010566,H品牌宝宝餐椅,1,20120101,湖北省,0
24,691367866,50011993,M品牌婴儿奶瓶,1,20120101,江苏省,0
25,77193822,50011993,M品牌婴儿奶瓶,1,20120101,山东省,0
26,605678021,50011993,M品牌婴儿奶瓶,1,20120101,广东省,0
27,47702620,50012359,T品牌婴儿奶瓶,1,20120101,广西壮族自治区,0
